study_id	study_label	calr_data_csv	session_csv	reference_group	gene_symbol	gene_id	perturbation_type	site	sex	strain	diet	acclimation_state
FIG2_HFD	Figure2 HFD reference	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/calr_fig2_profile_query_public_grouped/raw/Fig2_CalR_data.csv	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/calr_fig2_profile_query_public_grouped/raw/Fig2_CalR_Davis_Session.csv	HFD	Lepr	Lepr	diet_model	UC Davis	male	C57BL6J	hfd	post_acclimation
FIG2_LFD	Figure2 LFD reference	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/calr_fig2_profile_query_public_grouped/raw/Fig2_CalR_data.csv	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/calr_fig2_profile_query_public_grouped/raw/Fig2_CalR_Davis_Session.csv	LFD	Ppargc1a	Ppargc1a	diet_control	UC Davis	male	C57BL6J	lfd	post_acclimation
