dataset_slug	card_id	extractor	status	signature_dir	source_meta_path
gtex_bulk_rna_grouped	GTEx_OpenAccess__BulkRNA__Muscle_Skeletal_vs_rest	rna_deg_multi	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/gtex_bulk_rna_grouped/comparison=muscle_skeletal_vs_rest	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/gtex_bulk_rna_grouped/cards/GTEx_OpenAccess__BulkRNA__Muscle_Skeletal_vs_rest.source_meta.json
gtex_bulk_rna_grouped	GTEx_OpenAccess__BulkRNA__Liver_vs_rest	rna_deg_multi	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/gtex_bulk_rna_grouped/comparison=liver_vs_rest	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/gtex_bulk_rna_grouped/cards/GTEx_OpenAccess__BulkRNA__Liver_vs_rest.source_meta.json
gtex_bulk_rna_grouped	GTEx_OpenAccess__BulkRNA__Whole_Blood_vs_rest	rna_deg_multi	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/gtex_bulk_rna_grouped/comparison=whole_blood_vs_rest	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/gtex_bulk_rna_grouped/cards/GTEx_OpenAccess__BulkRNA__Whole_Blood_vs_rest.source_meta.json
gtex_bulk_rna_grouped	GTEx_OpenAccess__BulkRNA__Lung_vs_rest	rna_deg_multi	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/gtex_bulk_rna_grouped/comparison=lung_vs_rest	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/gtex_bulk_rna_grouped/cards/GTEx_OpenAccess__BulkRNA__Lung_vs_rest.source_meta.json
gtex_bulk_rna_grouped	GTEx_OpenAccess__BulkRNA__Pancreas_vs_rest	rna_deg_multi	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/gtex_bulk_rna_grouped/comparison=pancreas_vs_rest	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/gtex_bulk_rna_grouped/cards/GTEx_OpenAccess__BulkRNA__Pancreas_vs_rest.source_meta.json
hubmap_liver_scrna_markers	HuBMAP_Liver__scRNA__Leiden0_APOC1	sc_rna_marker	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/hubmap_liver_scrna_markers/group=0	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/hubmap_liver_scrna_markers/cards/HuBMAP_Liver__scRNA__Leiden0_APOC1.source_meta.json
hubmap_liver_scrna_markers	HuBMAP_Liver__scRNA__Leiden5_FCN3	sc_rna_marker	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/hubmap_liver_scrna_markers/group=5	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/hubmap_liver_scrna_markers/cards/HuBMAP_Liver__scRNA__Leiden5_FCN3.source_meta.json
hubmap_liver_scrna_markers	HuBMAP_Liver__scRNA__Leiden7_AIF1	sc_rna_marker	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/hubmap_liver_scrna_markers/group=7	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/hubmap_liver_scrna_markers/cards/HuBMAP_Liver__scRNA__Leiden7_AIF1.source_meta.json
hubmap_liver_scrna_markers	HuBMAP_Liver__scRNA__Leiden8_IGFBP7	sc_rna_marker	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/hubmap_liver_scrna_markers/group=8	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/hubmap_liver_scrna_markers/cards/HuBMAP_Liver__scRNA__Leiden8_IGFBP7.source_meta.json
hubmap_liver_scrna_markers	HuBMAP_Liver__scRNA__Leiden9_MZB1	sc_rna_marker	success	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_outputs/hubmap_liver_scrna_markers/group=9	/Users/flannick/codex-workspace/analysis/gene_set_extractors/ui_test/prototype_inputs/hubmap_liver_scrna_markers/cards/HuBMAP_Liver__scRNA__Leiden9_MZB1.source_meta.json
